pokemon_1,pokemon_2,type_eff_1_to_2,type_eff_2_to_1,stat_sum_1,stat_sum_2,score_1,score_2,winner
typhlosion,exploud,1.0,1.0,534,490,534.0,490.0,typhlosion
venusaur,arbok,0.5,1.0,525,438,262.5,438.0,arbok
tynamo,fletchling,2.0,0.5,275,278,550.0,139.0,tynamo
carnivine,liepard,1.0,1.0,454,446,454.0,446.0,carnivine
charmeleon,haxorus,0.5,1.0,405,540,202.5,540.0,haxorus
empoleon,stoutland,1.0,0.25,530,500,530.0,125.0,empoleon
metapod,shelmet,1.0,1.0,205,305,205.0,305.0,shelmet
kabuto,doublade,0.5,1.0,355,448,177.5,448.0,doublade
bibarel,burmy,1.0,1.0,410,224,410.0,224.0,bibarel
voltorb,pangoro,1.0,2.0,330,495,330.0,990.0,pangoro
flygon,infernape,2.0,0.5,520,534,1040.0,267.0,flygon
rhyhorn,espeon,1.0,0.5,345,525,345.0,262.5,rhyhorn
seedot,walrein,2.0,1.0,220,530,440.0,530.0,walrein
scizor,vanilluxe,2.0,0.25,500,535,1000.0,133.75,scizor
larvitar,hawlucha,0.0,1.0,300,500,0.0,500.0,hawlucha
abra,surskit,1.0,2.0,310,269,310.0,538.0,surskit
magmar,sceptile,2.0,0.5,495,530,990.0,265.0,magmar
carnivine,barbaracle,2.0,0.5,454,500,908.0,250.0,carnivine
venipede,virizion,2.0,0.125,260,580,520.0,72.5,venipede
clefairy,dragonite,2.0,0.0,323,600,646.0,0.0,clefairy
wurmple,meditite,1.0,1.0,195,280,195.0,280.0,meditite
smeargle,prinplup,1.0,1.0,250,405,250.0,405.0,prinplup
swoobat,tyrunt,0.5,2.0,425,362,212.5,724.0,tyrunt
gengar,walrein,1.0,1.0,500,530,500.0,530.0,walrein
espurr,phantump,0.0,0.0,355,309,0.0,0.0,phantump
shellder,spinarak,1.0,1.0,305,250,305.0,250.0,shellder
elekid,cacturne,0.5,1.0,360,475,180.0,475.0,cacturne
sealeo,emboar,1.0,2.0,410,528,410.0,1056.0,emboar
salamence,fennekin,1.0,0.5,600,307,600.0,153.5,salamence
probopass,sigilyph,2.0,0.125,525,490,1050.0,61.25,probopass
drowzee,lairon,0.125,1.0,328,430,41.0,430.0,lairon
nidorino,relicanth,0.25,1.0,365,485,91.25,485.0,relicanth
seadra,sableye,0.0,0.0,440,380,0.0,0.0,sableye
shuckle,azurill,0.5,0.5,505,190,252.5,95.0,shuckle
ivysaur,rotom,0.5,0.5,405,440,202.5,220.0,rotom
meditite,chespin,2.0,1.0,280,313,560.0,313.0,meditite
marowak,flareon,2.0,1.0,425,525,850.0,525.0,marowak
hitmonlee,bagon,2.0,1.0,455,300,910.0,300.0,hitmonlee
jigglypuff,milotic,1.0,1.0,270,540,270.0,540.0,milotic
articuno,beheeyem,1.0,1.0,580,485,580.0,485.0,articuno
dewott,klink,0.5,0.5,413,300,206.5,150.0,dewott
beartic,diggersby,2.0,1.0,485,423,970.0,423.0,beartic
snorlax,dragonair,1.0,1.0,540,420,540.0,420.0,snorlax
rapidash,murkrow,1.0,1.0,500,405,500.0,405.0,rapidash
dragonite,cinccino,1.0,1.0,600,470,600.0,470.0,dragonite
starmie,shedinja,1.0,4.0,520,236,520.0,944.0,shedinja
ursaring,staravia,1.0,1.0,500,340,500.0,340.0,ursaring
purugly,cinccino,1.0,1.0,452,470,452.0,470.0,cinccino
gothita,xerneas,1.0,1.0,290,680,290.0,680.0,xerneas
marill,spinda,1.0,1.0,250,360,250.0,360.0,spinda
pinsir,glameow,1.0,1.0,500,310,500.0,310.0,pinsir
suicune,hariyama,1.0,2.0,580,474,580.0,948.0,hariyama
miltank,gothita,1.0,1.0,490,290,490.0,290.0,miltank
manaphy,tynamo,1.0,2.0,600,275,600.0,550.0,manaphy
breloom,whismur,4.0,1.0,460,240,1840.0,240.0,breloom
sudowoodo,lampent,0.0,0.0,410,370,0.0,0.0,lampent
purugly,palpitoad,1.0,1.0,452,384,452.0,384.0,purugly
simisage,cottonee,0.5,0.5,498,280,249.0,140.0,simisage
linoone,fraxure,1.0,1.0,420,410,420.0,410.0,linoone
slaking,munna,1.0,1.0,670,292,670.0,292.0,slaking
nidoking,feebas,1.0,2.0,505,200,505.0,400.0,nidoking
seedot,glalie,1.0,2.0,220,480,220.0,960.0,glalie
onix,barbaracle,2.0,2.0,385,500,770.0,1000.0,barbaracle
koffing,rufflet,1.0,1.0,340,350,340.0,350.0,rufflet
magikarp,froakie,0.5,0.5,200,314,100.0,157.0,froakie
skarmory,plusle,0.25,1.0,465,405,116.25,405.0,plusle
stantler,groudon,1.0,1.0,465,670,465.0,670.0,groudon
grimer,axew,1.0,1.0,325,320,325.0,320.0,grimer
graveler,ralts,1.0,1.0,390,198,390.0,198.0,graveler
mismagius,doublade,0.0,0.0,495,448,0.0,0.0,doublade
kingdra,arceus,1.0,1.0,540,720,540.0,720.0,arceus
mankey,gorebyss,2.0,1.0,305,485,610.0,485.0,mankey
wynaut,shelgon,1.0,1.0,260,420,260.0,420.0,shelgon
ludicolo,dusclops,1.0,1.0,480,455,480.0,455.0,ludicolo
beheeyem,trevenant,0.0,0.0,485,474,0.0,0.0,trevenant
parasect,fletchling,0.25,4.0,405,278,101.25,1112.0,fletchling
donphan,magby,2.0,1.0,500,365,1000.0,365.0,donphan
lumineon,heatran,1.0,0.25,460,600,460.0,150.0,lumineon
machop,sceptile,2.0,1.0,305,530,610.0,530.0,machop
beautifly,grotle,4.0,0.25,395,405,1580.0,101.25,beautifly
tyrogue,celebi,0.5,2.0,210,600,105.0,1200.0,celebi
jumpluff,seismitoad,4.0,0.0,460,509,1840.0,0.0,jumpluff
beautifly,sealeo,1.0,2.0,395,410,395.0,820.0,sealeo
meowth,slowbro,1.0,1.0,290,490,290.0,490.0,slowbro
bellossom,shuppet,0.0,0.0,490,295,0.0,0.0,shuppet
bibarel,spritzee,1.0,1.0,410,341,410.0,341.0,bibarel
walrein,panpour,0.25,0.5,530,316,132.5,158.0,panpour
rayquaza,heatmor,1.0,0.5,680,484,680.0,242.0,rayquaza
onix,snorunt,2.0,1.0,385,300,770.0,300.0,onix
ursaring,illumise,1.0,1.0,500,400,500.0,400.0,ursaring
snorunt,braixen,0.5,2.0,300,409,150.0,818.0,braixen
slugma,aron,0.25,1.0,250,330,62.5,330.0,aron
fearow,latios,1.0,1.0,442,600,442.0,600.0,latios
corsola,foongus,0.5,2.0,380,294,190.0,588.0,foongus
goldeen,scolipede,1.0,1.0,320,485,320.0,485.0,scolipede
spearow,fletchling,1.0,1.0,262,278,262.0,278.0,fletchling
monferno,krokorok,2.0,1.0,405,351,810.0,351.0,monferno
azumarill,lumineon,0.5,0.5,420,460,210.0,230.0,lumineon
kadabra,simipour,1.0,1.0,400,498,400.0,498.0,simipour
scyther,swirlix,0.5,1.0,500,341,250.0,341.0,swirlix
regice,finneon,0.5,1.0,580,330,290.0,330.0,finneon
pikachu,tauros,1.0,1.0,320,490,320.0,490.0,tauros
chinchou,grovyle,0.25,2.0,330,405,82.5,810.0,grovyle
baltoy,chesnaught,1.0,1.0,300,530,300.0,530.0,chesnaught
binacle,hawlucha,1.0,1.0,306,500,306.0,500.0,hawlucha
sudowoodo,gorebyss,1.0,1.0,410,485,410.0,485.0,gorebyss
makuhita,gigalith,2.0,0.5,237,515,474.0,257.5,makuhita
whiscash,arceus,1.0,1.0,468,720,468.0,720.0,arceus
gligar,golett,1.0,0.0,430,303,430.0,0.0,gligar
servine,whimsicott,0.5,0.5,413,480,206.5,240.0,whimsicott
hippopotas,shelmet,0.5,1.0,330,305,165.0,305.0,shelmet
charmander,weezing,1.0,1.0,309,490,309.0,490.0,weezing
larvitar,lillipup,1.0,0.25,300,275,300.0,68.75,larvitar
smeargle,plusle,1.0,1.0,250,405,250.0,405.0,plusle
cyndaquil,golett,0.0,0.0,309,303,0.0,0.0,golett
staravia,duosion,1.0,1.0,340,370,340.0,370.0,duosion
aron,barboach,0.25,8.0,330,288,82.5,2304.0,barboach
reuniclus,ducklett,1.0,1.0,490,305,490.0,305.0,reuniclus
parasect,electabuzz,1.0,0.5,405,490,405.0,245.0,parasect
girafarig,luxio,1.0,1.0,455,363,455.0,363.0,girafarig
rampardos,espurr,1.0,0.5,495,355,495.0,177.5,rampardos
surskit,bisharp,1.0,0.5,269,490,269.0,245.0,surskit
bronzor,manaphy,0.5,0.5,300,600,150.0,300.0,manaphy
ivysaur,lopunny,1.0,1.0,405,480,405.0,480.0,lopunny
ivysaur,watchog,1.0,1.0,405,420,405.0,420.0,watchog
gothorita,tyrunt,0.5,1.0,390,362,195.0,362.0,tyrunt
larvitar,gliscor,0.0,1.0,300,510,0.0,510.0,gliscor
gardevoir,lunatone,0.5,0.5,518,440,259.0,220.0,gardevoir
torchic,druddigon,0.5,1.0,310,485,155.0,485.0,druddigon
hoppip,floatzel,2.0,0.5,250,495,500.0,247.5,hoppip
magneton,servine,0.5,0.25,465,413,232.5,103.25,magneton
abomasnow,tranquill,1.0,2.0,494,358,494.0,716.0,tranquill
lombre,whismur,1.0,1.0,340,240,340.0,240.0,lombre
meowth,alomomola,1.0,1.0,290,470,290.0,470.0,alomomola
poliwrath,mightyena,4.0,0.5,510,420,2040.0,210.0,poliwrath
remoraid,empoleon,0.25,0.25,300,530,75.0,132.5,empoleon
probopass,cofagrigus,1.0,0.25,525,483,525.0,120.75,probopass
swampert,seviper,2.0,0.5,535,458,1070.0,229.0,swampert
porygon-z,hydreigon,1.0,1.0,535,600,535.0,600.0,hydreigon
combee,minccino,1.0,1.0,244,300,244.0,300.0,minccino
alakazam,kyurem,1.0,1.0,500,660,500.0,660.0,kyurem
croconaw,espeon,1.0,1.0,405,525,405.0,525.0,espeon
swampert,solrock,4.0,0.5,535,440,2140.0,220.0,swampert
shelgon,simipour,1.0,0.5,420,498,420.0,249.0,shelgon
typhlosion,leavanny,4.0,0.25,534,500,2136.0,125.0,typhlosion
kabuto,skrelp,0.5,0.5,355,320,177.5,160.0,kabuto
xatu,bunnelby,1.0,1.0,470,237,470.0,237.0,xatu
vanillish,inkay,1.0,1.0,395,288,395.0,288.0,vanillish
beedrill,magneton,0.0,1.0,395,465,0.0,465.0,magneton
azumarill,leafeon,0.5,2.0,420,525,210.0,1050.0,leafeon
natu,eelektrik,0.5,2.0,320,405,160.0,810.0,eelektrik
rattata,espeon,1.0,1.0,253,525,253.0,525.0,espeon
machoke,dunsparce,4.0,1.0,405,415,1620.0,415.0,machoke
jigglypuff,vullaby,2.0,0.5,270,370,540.0,185.0,jigglypuff
venonat,zorua,2.0,1.0,305,330,610.0,330.0,venonat
camerupt,crawdaunt,0.5,4.0,460,468,230.0,1872.0,crawdaunt
nidorina,poliwrath,1.0,1.0,365,510,365.0,510.0,poliwrath
pachirisu,reuniclus,1.0,1.0,405,490,405.0,490.0,reuniclus
venipede,goomy,1.0,1.0,260,300,260.0,300.0,goomy
omanyte,stoutland,1.0,0.25,355,500,355.0,125.0,omanyte
munna,lampent,0.0,0.0,292,370,0.0,0.0,lampent
venusaur,braviary,0.5,2.0,525,510,262.5,1020.0,braviary
tepig,purrloin,1.0,1.0,308,281,308.0,281.0,tepig
purugly,liepard,1.0,1.0,452,446,452.0,446.0,purugly
exeggutor,abomasnow,0.5,1.0,520,494,260.0,494.0,abomasnow
shiftry,delphox,1.0,0.0,480,534,480.0,0.0,shiftry
monferno,luxray,2.0,1.0,405,523,810.0,523.0,monferno
milotic,monferno,2.0,1.0,540,405,1080.0,405.0,milotic
charmander,noivern,0.5,1.0,309,535,154.5,535.0,noivern
ditto,glalie,1.0,1.0,288,480,288.0,480.0,glalie
sandshrew,combusken,2.0,2.0,300,405,600.0,810.0,combusken
magikarp,bayleef,0.5,2.0,200,405,100.0,810.0,bayleef
blastoise,hitmonlee,1.0,2.0,530,455,530.0,910.0,hitmonlee
eevee,zangoose,1.0,1.0,325,458,325.0,458.0,zangoose
anorith,monferno,0.25,1.0,355,405,88.75,405.0,monferno
chimecho,woobat,0.5,0.5,425,313,212.5,156.5,chimecho
poliwhirl,gulpin,1.0,1.0,385,302,385.0,302.0,poliwhirl
hariyama,skiddo,2.0,1.0,474,350,948.0,350.0,hariyama
ducklett,cryogonal,1.0,1.0,305,485,305.0,485.0,cryogonal
skiploom,lilligant,1.0,0.25,340,480,340.0,120.0,skiploom
pidgeotto,heliolisk,0.5,2.0,349,481,174.5,962.0,heliolisk
duskull,electivire,0.0,0.0,295,540,0.0,0.0,electivire
feraligatr,ariados,1.0,1.0,530,390,530.0,390.0,feraligatr
cottonee,archen,1.0,2.0,280,401,280.0,802.0,archen
slowbro,vanilluxe,1.0,0.5,490,535,490.0,267.5,slowbro
dwebble,vanillish,2.0,0.5,325,395,650.0,197.5,dwebble
lotad,sawk,1.0,1.0,220,465,220.0,465.0,sawk
ledyba,gallade,2.0,0.25,265,518,530.0,129.5,ledyba
azumarill,ursaring,1.0,1.0,420,500,420.0,500.0,ursaring
houndoom,cacnea,2.0,0.5,500,335,1000.0,167.5,houndoom
golduck,zangoose,1.0,1.0,500,458,500.0,458.0,golduck
dewgong,taillow,2.0,1.0,475,270,950.0,270.0,dewgong
regice,fennekin,0.5,2.0,580,307,290.0,614.0,fennekin
mareep,stoutland,1.0,1.0,280,500,280.0,500.0,stoutland
venusaur,manectric,1.0,0.5,525,475,525.0,237.5,venusaur
paras,jynx,2.0,2.0,285,455,570.0,910.0,jynx
spoink,dialga,0.25,1.0,330,680,82.5,680.0,dialga
uxie,joltik,1.0,2.0,580,319,580.0,638.0,joltik
cleffa,krookodile,2.0,0.5,218,519,436.0,259.5,cleffa
chikorita,malamar,1.0,1.0,318,482,318.0,482.0,malamar
crobat,klang,0.0,1.0,535,440,0.0,440.0,klang
suicune,frillish,0.0,0.0,580,335,0.0,0.0,frillish
golbat,latias,1.0,2.0,455,600,455.0,1200.0,latias
jolteon,swirlix,1.0,1.0,525,341,525.0,341.0,jolteon
flareon,carbink,0.25,1.0,525,500,131.25,500.0,carbink
terrakion,sliggoo,2.0,0.5,580,452,1160.0,226.0,terrakion
weedle,glalie,1.0,1.0,195,480,195.0,480.0,glalie
meganium,unfezant,0.5,2.0,525,488,262.5,976.0,unfezant
flaaffy,cottonee,0.5,1.0,365,280,182.5,280.0,cottonee
swablu,clamperl,1.0,1.0,310,345,310.0,345.0,clamperl
golbat,haunter,0.25,0.5,455,405,113.75,202.5,haunter
machoke,wailmer,2.0,1.0,405,400,810.0,400.0,machoke
gallade,fraxure,2.0,1.0,518,410,1036.0,410.0,gallade
seaking,woobat,1.0,1.0,450,313,450.0,313.0,seaking
wurmple,whismur,1.0,1.0,195,240,195.0,240.0,whismur
ledyba,glalie,1.0,2.0,265,480,265.0,960.0,glalie
dodrio,minccino,1.0,1.0,460,300,460.0,300.0,dodrio
omastar,jumpluff,1.0,2.0,495,460,495.0,920.0,jumpluff
pineco,clamperl,1.0,1.0,290,345,290.0,345.0,clamperl
tentacool,skuntank,0.5,0.5,335,479,167.5,239.5,skuntank
seadra,qwilfish,0.5,0.5,440,430,220.0,215.0,seadra
boldore,durant,0.5,2.0,390,484,195.0,968.0,durant
wingull,crawdaunt,0.5,0.5,270,468,135.0,234.0,crawdaunt
geodude,tympole,1.0,2.0,300,294,300.0,588.0,tympole
skiploom,foongus,1.0,0.5,340,294,340.0,147.0,skiploom
combusken,sliggoo,1.0,1.0,405,452,405.0,452.0,sliggoo
politoed,simisage,0.5,2.0,500,498,250.0,996.0,simisage
slakoth,purugly,1.0,1.0,280,452,280.0,452.0,purugly
rhydon,combusken,2.0,1.0,485,405,970.0,405.0,rhydon
entei,purrloin,1.0,1.0,580,281,580.0,281.0,entei
igglybuff,snubbull,1.0,1.0,210,300,210.0,300.0,snubbull
fearow,aron,0.0625,2.0,442,330,27.625,660.0,aron
grotle,terrakion,1.0,2.0,405,580,405.0,1160.0,terrakion
infernape,aromatisse,1.0,1.0,534,462,534.0,462.0,infernape
slowbro,tympole,0.5,0.5,490,294,245.0,147.0,slowbro
happiny,reshiram,1.0,1.0,220,680,220.0,680.0,reshiram
mothim,porygon-z,1.0,1.0,424,535,424.0,535.0,porygon-z
tangrowth,chespin,0.5,0.5,535,313,267.5,156.5,tangrowth
pichu,staravia,2.0,0.5,205,340,410.0,170.0,pichu
drowzee,elgyem,0.5,0.5,328,335,164.0,167.5,elgyem
sentret,florges,1.0,1.0,215,552,215.0,552.0,florges
corsola,sigilyph,2.0,0.5,380,490,760.0,245.0,corsola
piloswine,remoraid,0.5,2.0,450,300,225.0,600.0,remoraid
tynamo,druddigon,0.5,1.0,275,485,137.5,485.0,druddigon
magneton,chimchar,0.5,1.0,465,309,232.5,309.0,chimchar
horsea,frillish,0.0,0.0,295,335,0.0,0.0,frillish
pachirisu,deino,0.5,1.0,405,300,202.5,300.0,deino
parasect,glalie,1.0,2.0,405,480,405.0,960.0,glalie
raikou,wingull,4.0,0.5,580,270,2320.0,135.0,raikou
ferroseed,dragalge,0.5,0.0,305,494,152.5,0.0,ferroseed
magneton,victini,0.5,1.0,465,600,232.5,600.0,victini
shroomish,volbeat,0.5,2.0,295,400,147.5,800.0,volbeat
voltorb,ditto,1.0,1.0,330,288,330.0,288.0,voltorb
dustox,tepig,0.5,2.0,385,308,192.5,616.0,tepig
conkeldurr,durant,0.5,0.5,505,484,252.5,242.0,conkeldurr
lugia,nuzleaf,0.0,1.0,680,340,0.0,340.0,nuzleaf
omastar,mawile,0.5,1.0,495,380,247.5,380.0,mawile
